                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                 1.7715,                0.76472,                0.75678,                0.90728,                0.65157,                0.71907,                0.34277,                 1.6191,                0.61546,                0.79494,             0.00010783,             0.00010783,             0.00010783
                    143,                 1.8059,                0.80488,                0.76411,                0.91093,                0.64725,                 0.7134,                0.32608,                 1.6684,                0.63075,                0.79431,             0.00010606,             0.00010606,             0.00010606
                    144,                 1.7985,                0.78502,                  0.764,                0.91212,                0.65853,                0.71697,                 0.3406,                 1.6181,                0.61372,                0.79521,              0.0001043,              0.0001043,              0.0001043
                    145,                  1.777,                0.77232,                0.75857,                0.90888,                0.66063,                0.72052,                0.33859,                 1.6313,                0.62234,                0.79514,             0.00010253,             0.00010253,             0.00010253
                    146,                 1.8104,                0.78507,                0.77157,                0.92382,                0.65914,                 0.7245,                0.34171,                 1.6284,                0.61735,                0.79599,             0.00010076,             0.00010076,             0.00010076
                    147,                 1.7547,                0.75734,                0.76264,                0.91287,                0.65986,                0.71889,                0.34057,                  1.604,                 0.6119,                0.79489,             9.8996e-05,             9.8996e-05,             9.8996e-05
                    148,                  1.792,                0.78648,                0.76534,                0.90746,                0.65297,                0.71856,                0.34056,                 1.6147,                0.60626,                0.79475,             9.7229e-05,             9.7229e-05,             9.7229e-05
                    149,                 1.7769,                0.77711,                0.76502,                0.90662,                0.64785,                 0.7146,                 0.3398,                 1.6279,                0.61003,                0.79472,             9.5462e-05,             9.5462e-05,             9.5462e-05
                    150,                 1.7873,                0.77525,                0.76102,                0.90976,                0.65639,                0.72346,                0.34436,                 1.6177,                0.60435,                 0.7956,             9.3695e-05,             9.3695e-05,             9.3695e-05
                    151,                 1.8001,                0.78427,                0.76071,                0.91133,                0.65482,                0.72404,                0.34694,                 1.6132,                0.60276,                0.79419,             9.1927e-05,             9.1927e-05,             9.1927e-05
